ticker,name,sector
HUB.AX,Hub24,Financials
HVN.AX,Harvey Norman Holdings,Consumer Discretionary
IAG.AX,Insurance Australia Group,Financials
IEL.AX,IDP Education,Consumer Discretionary
IFL.AX,Insignia Financial,Financials
ILU.AX,Iluka Resources,Materials
IGO.AX,IGO Limited,Materials
IPL.AX,Incitec Pivot,Materials
JBH.AX,JB Hi-Fi,Consumer Discretionary
JHG.AX,Janus Henderson Group,Financials
LLC.AX,Lendlease Group,Real Estate
LNK.AX,Link Administration Holdings,Information Technology
LOV.AX,Lovisa Holdings,Consumer Discretionary
LTR.AX,Liontown Resources,Materials
LYC.AX,Lynas Rare Earths,Materials
MFG.AX,Magellan Financial Group,Financials
MGR.AX,Mirvac Group,Real Estate
MND.AX,Monadelphous Group,Industrials
MP1.AX,Megaport,Information Technology
MPL.AX,Medibank Private,Financials
NEM.AX,Newmont,Materials
NHC.AX,New Hope Corporation,Energy
NIC.AX,Nickel Industries,Materials
NUF.AX,Nufarm,Materials
NWL.AX,Netwealth Group,Financials
NWS.AX,News Corporation,Communication Services
ORA.AX,Orora,Materials
ORI.AX,Orica,Materials
PME.AX,Pro Medicus,Health Care
PNI.AX,Pinnacle Investment Management,Financials
PPT.AX,Perpetual,Financials
PRU.AX,Perseus Mining,Materials
QUB.AX,Qube Holdings,Industrials
REH.AX,Reece,Industrials
RHC.AX,Ramsay Health Care,Health Care
RMS.AX,Ramelius Resources,Materials
RRL.AX,Regis Resources,Materials
RWC.AX,Reliance Worldwide Corporation,Industrials
SBM.AX,St Barbara,Materials
SDF.AX,Steadfast Group,Financials
SEK.AX,SEEK,Communication Services
SFR.AX,Sandfire Resources,Materials
SGM.AX,Sims,Materials
SGP.AX,Stockland,Real Estate
SGR.AX,Star Entertainment Group,Consumer Discretionary
SIG.AX,Sigma Healthcare,Health Care
SLR.AX,Silver Lake Resources,Materials
SMR.AX,Stanmore Resources,Energy
SOL.AX,Washington H. Soul Pattinson and Company,Financials
SPK.AX,Spark New Zealand,Communication Services
SQ2.AX,Block Inc,Information Technology
TAH.AX,Tabcorp Holdings,Consumer Discretionary
TLX.AX,Telix Pharmaceuticals,Health Care
TNE.AX,TechnologyOne,Information Technology
VCX.AX,Vicinity Centres,Real Estate
VEA.AX,Viva Energy Group,Energy
VUK.AX,Virgin Money UK,Financials
WAF.AX,West African Resources,Materials
WHC.AX,Whitehaven Coal,Energy
WOR.AX,Worley,Energy
ZIP.AX,Zip Co,Information Technology
A2M.AX,The a2 Milk Company,Consumer Staples
AD8.AX,Audinate Group,Information Technology
AIA.AX,Auckland International Airport,Industrials
ALX.AX,Atlas Arteria,Industrials
APE.AX,Eagers Automotive,Consumer Discretionary
ARF.AX,Arena REIT,Real Estate
AUB.AX,AUB Group,Financials
BAP.AX,Bapcor,Consumer Discretionary
BGA.AX,Bega Cheese,Consumer Staples
BPT.AX,Beach Energy,Energy
BWP.AX,BWP Trust,Real Estate
CCP.AX,Credit Corp Group,Financials
CDA.AX,Codan,Information Technology
CKF.AX,Collins Foods,Consumer Discretionary
CLW.AX,Charter Hall Long WALE REIT,Real Estate
CMM.AX,Capricorn Metals,Materials
CWY.AX,Cleanaway Waste Management,Industrials
DDR.AX,Dicker Data,Information Technology
DTL.AX,Data#3,Information Technology
EML.AX,EML Payments,Information Technology
HLS.AX,Healius,Health Care
HMC.AX,Home Consortium,Real Estate
INA.AX,Ingenia Communities Group,Real Estate
ING.AX,Inghams Group,Consumer Staples
IPH.AX,IPH Limited,Industrials
IRE.AX,Iress,Information Technology
KAR.AX,Karoon Energy,Energy
LFS.AX,Latitude Group Holdings,Financials
LIC.AX,Lifestyle Communities,Real Estate
MAF.AX,MA Financial Group,Financials
MAH.AX,Macmahon Holdings,Industrials
MGH.AX,Maas Group Holdings,Industrials
NAN.AX,Nanosonics,Health Care
NEC.AX,Nine Entertainment,Communication Services
NHF.AX,nib Holdings,Financials
PXA.AX,PEXA Group,Information Technology
QOR.AX,Qoria,Information Technology
SLC.AX,Superloop,Communication Services
SVR.AX,Solvar,Financials
SXL.AX,Southern Cross Media Group,Communication Services
TYR.AX,Tyro Payments,Information Technology
VNT.AX,Ventia Services Group,Industrials
WGX.AX,Westgold Resources,Materials
